"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
2338164398,"EUN1",13,0,122,64,157,523,25,15,523,266,69,245
2338420266,"EUN1",13,0,157,235,120,523,25,2,8,13,111,38
2341692940,"EUN1",13,1,122,85,523,64,53,122,8,53,63,25
2341706835,"EUN1",13,0,82,523,122,157,-1,24,17,89,99,82
2341761528,"EUN1",13,0,117,75,24,105,235,99,82,122,235,555
2342233551,"EUN1",13,0,235,111,105,523,64,84,122,25,111,90
2342371119,"EUN1",13,1,11,523,235,21,24,555,11,266,84,2
2342995422,"EUN1",13,0,145,75,8,99,82,17,53,523,238,54
2343048380,"EUN1",13,0,17,555,266,111,82,99,105,122,82,54
2343055066,"EUN1",13,0,64,11,157,25,143,17,11,82,122,99
2343100140,"EUN1",13,1,25,84,131,82,99,141,122,53,157,131
2343105895,"EUN1",13,0,36,202,72,157,122,523,238,82,122,266
2343124966,"EUN1",13,0,90,25,82,53,114,69,54,24,89,51
2353261957,"EUN1",13,1,2,51,238,89,122,38,111,157,523,122
2353287309,"EUN1",13,1,84,25,114,238,56,238,157,90,105,119
2353313804,"EUN1",13,0,157,235,119,245,238,51,28,23,90,82
2353359657,"EUN1",13,1,131,89,51,36,238,157,517,51,25,2
2353763094,"EUN1",13,1,25,131,75,111,157,238,24,25,11,157
2353810489,"EUN1",13,1,75,111,131,157,523,555,121,238,51,17
2353845367,"EUN1",13,1,157,63,82,89,111,64,29,238,122,131
2358634561,"EUN1",13,1,141,122,24,55,555,8,58,523,157,111
2358721591,"EUN1",13,1,875,157,523,25,82,555,875,157,82,523
2358790644,"EUN1",13,1,555,157,875,122,11,82,74,84,555,875
2359264875,"EUN1",13,1,-1,122,111,69,25,75,238,555,157,523
2359333720,"EUN1",13,1,134,523,67,245,555,122,238,875,89,245
2359360368,"EUN1",13,0,555,523,-1,32,90,238,122,245,11,105
2359579029,"EUN1",13,1,18,875,238,111,523,51,141,82,875,238
2359601786,"EUN1",13,1,122,875,53,157,64,142,51,238,157,7
2359650086,"EUN1",13,0,89,523,75,157,122,103,82,523,25,235
2359713857,"EUN1",13,1,53,11,131,75,90,555,131,53,6,24
2359773958,"EUN1",13,0,235,25,60,119,523,53,254,555,82,114
2362178537,"EUN1",13,0,157,7,58,51,523,875,412,86,523,131
2366122712,"EUN1",13,1,80,157,51,119,240,201,875,157,25,45
