"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
325790563,"OC1",13,0,64,4,11,112,12,4,432,4,14,51,4,7,14,4,12,350,7,3,81,4,1,121,11,14,41,12,4,142,12,4
325758626,"OC1",13,0,76,4,11,3,12,4,51,4,7,24,4,12,267,14,4,432,4,14,54,4,12,64,4,11,222,4,7,50,4,3
325746676,"OC1",13,0,64,4,11,68,14,4,81,7,4,63,14,4,164,12,4,99,14,4,51,4,7,56,14,4,98,4,12,76,11,4
325713152,"OC1",13,1,22,4,7,103,14,4,164,4,12,154,11,4,432,4,14,111,14,4,41,4,12,145,4,7,120,6,11,61,4,1
325498118,"OC1",13,0,67,4,1,113,4,11,106,4,12,432,4,7,42,4,12,266,4,12,104,4,11,235,3,4,4,4,14,81,4,7
325486400,"OC1",13,1,8,4,14,412,4,3,22,4,7,164,4,12,76,4,11,62,14,4,516,4,12,119,4,1,63,4,1,113,4,11
325393309,"OC1",13,1,76,11,4,157,3,4,111,14,4,54,4,14,164,4,12,203,4,11,106,12,4,134,4,7,238,4,14,16,4,3
325400570,"OC1",13,1,69,4,1,517,4,12,76,11,4,43,14,4,22,7,4,164,4,12,875,14,4,429,4,1,4,12,4,2,4,11
325346675,"OC1",13,0,59,11,4,58,12,4,3,12,4,875,14,4,429,3,4,61,12,4,67,4,1,57,4,12,106,4,11,50,4,14
325344345,"OC1",13,1,50,4,3,58,4,12,22,4,12,134,3,4,64,4,11,240,4,12,55,4,14,429,4,1,121,11,14,117,14,4
325045188,"OC1",13,1,12,14,4,3,12,4,121,11,14,62,4,12,22,4,1,45,1,4,412,14,4,41,4,12,113,4,11,202,4,1
325050964,"OC1",13,0,119,4,7,24,4,12,25,14,4,517,4,14,64,4,11,523,4,7,141,4,12,76,11,4,8,12,4,555,4,14
325022271,"OC1",13,0,22,7,4,412,4,14,164,4,12,104,11,4,142,4,12,72,4,11,517,4,12,117,14,4,81,4,7,238,4,14
324988995,"OC1",13,1,134,4,14,164,4,12,98,14,4,22,7,4,102,4,11,111,4,3,51,4,1,64,11,4,7,12,4,54,12,4
324987838,"OC1",13,0,51,4,7,117,14,4,102,4,11,236,4,3,517,4,12,22,4,6,350,7,3,421,4,11,39,14,4,84,4,12
324966715,"OC1",13,0,121,14,11,412,14,4,3,4,12,164,4,12,236,7,4,201,4,3,58,4,12,51,4,7,245,12,4,48,11,4
324757061,"OC1",13,1,64,4,11,131,12,4,202,4,7,164,4,12,12,4,14,875,11,4,111,14,4,145,4,7,58,4,12,7,14,4
324755293,"OC1",13,0,429,4,7,41,4,12,142,4,14,432,3,4,76,4,11,157,14,4,111,14,4,516,4,12,64,11,4,145,4,7
324742763,"OC1",13,0,429,4,1,432,14,4,112,4,12,517,4,12,2,11,4,236,4,14,41,4,12,412,14,4,22,4,7,30,4,11
324468221,"OC1",13,1,62,12,4,104,11,4,432,14,4,145,4,1,38,12,4,72,4,11,429,4,3,157,4,12,89,14,4,61,4,12
324428803,"OC1",13,0,412,14,4,2,11,4,157,3,4,164,12,4,134,4,14,78,4,12,429,4,7,875,14,4,7,14,4,64,11,4
324160574,"OC1",13,0,429,4,7,121,4,11,8,12,4,111,14,4,61,12,4,98,14,4,81,4,12,50,14,4,145,3,4,76,4,11
323075236,"OC1",13,0,24,6,14,235,21,4,106,11,4,523,4,7,517,12,4,266,12,4,37,4,21,81,4,7,104,14,11,43,4,14
