"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
324987838,"OC1",13,0,106,38,432,876,121,120,62,-1,432,245
324966715,"OC1",13,0,22,432,421,38,106,517,432,106,203,38
324757061,"OC1",13,1,432,89,876,203,106,30,121,203,25,106
324755293,"OC1",13,0,38,104,106,22,28,25,106,56,30,121
324742763,"OC1",13,0,104,245,61,24,106,121,523,72,106,876
324468221,"OC1",13,1,412,28,84,111,142,55,517,84,114,22
324428803,"OC1",13,0,432,106,56,76,24,432,121,81,876,106
324160574,"OC1",13,0,62,412,80,432,105,114,203,134,53,122
323075236,"OC1",13,0,28,127,203,412,76,84,22,-1,107,432
323082850,"OC1",13,0,432,30,107,38,105,76,427,-1,412,35
322630728,"OC1",13,1,235,41,203,62,-1,38,114,497,61,245
322596085,"OC1",13,1,53,38,517,-1,43,35,24,25,432,30
278305029,"OC1",13,1,875,38,111,157,53,238,157,53,555,7
278300002,"OC1",13,1,11,105,38,420,63,120,82,555,24,523
278272604,"OC1",13,0,555,105,517,523,82,11,875,55,53,25
276356055,"OC1",13,1,105,8,875,523,555,16,64,555,55,67
276263846,"OC1",13,1,45,157,63,25,245,555,53,157,523,238
276239846,"OC1",13,1,131,99,16,238,875,48,555,523,157,114
276243800,"OC1",13,0,58,157,238,555,235,28,523,122,7,555
276230539,"OC1",13,0,38,89,523,58,555,114,91,235,111,555
276154283,"OC1",13,1,235,2,266,523,238,523,21,122,38,8
275809396,"OC1",13,1,122,523,157,111,555,412,238,235,82,105
275410480,"OC1",13,1,2,523,55,122,555,45,82,56,555,142
275394665,"OC1",13,1,45,51,131,11,53,86,53,555,157,64
275356450,"OC1",13,0,63,91,875,134,64,875,238,53,122,105
275016072,"OC1",13,1,53,75,12,64,523,24,35,25,38,235
275006014,"OC1",13,1,64,17,69,555,157,55,122,89,51,82
274979803,"OC1",13,1,51,69,555,17,28,875,523,235,157,64
274892283,"OC1",13,1,25,82,64,63,157,105,122,157,51,523
274877601,"OC1",13,0,523,64,82,131,9,875,235,67,523,157
274765757,"OC1",13,0,-1,523,23,245,89,64,82,875,7,84
274760037,"OC1",13,0,64,145,157,7,875,89,111,131,64,-1
274693543,"OC1",13,1,105,24,11,111,54,64,875,17,122,555
274516418,"OC1",13,0,55,245,157,69,122,131,54,16,64,555
274113682,"OC1",13,0,27,55,82,11,157,119,875,131,81,107
274110239,"OC1",13,1,875,64,89,238,16,245,-1,122,523,89
274016502,"OC1",13,1,17,89,25,64,238,2,51,75,24,122
274010938,"OC1",13,1,101,122,111,555,157,29,875,105,8,11
273892906,"OC1",13,0,875,111,235,117,245,64,420,53,875,245
273901083,"OC1",13,1,245,875,53,111,11,17,11,111,122,235
273833183,"OC1",13,1,11,119,64,2,555,235,82,111,875,245
273830501,"OC1",13,0,75,25,523,-1,19,21,523,122,25,64
273739979,"OC1",13,0,131,122,157,111,555,91,122,266,523,134
273735959,"OC1",13,1,16,105,875,84,25,875,238,53,64,2
273765239,"OC1",13,1,35,875,523,56,111,90,875,114,111,119
273677590,"OC1",13,1,111,122,35,106,523,122,111,875,103,38
273672172,"OC1",13,0,106,122,875,235,42,58,238,111,35,21
273572836,"OC1",13,0,875,89,105,111,35,25,875,19,238,82
273570747,"OC1",13,0,86,122,111,266,119,35,119,25,141,875
268981813,"OC1",13,1,157,238,53,555,107,222,122,25,23,50
268990416,"OC1",13,0,238,555,36,-1,25,53,122,223,517,56
268926509,"OC1",13,1,67,122,21,56,555,92,58,11,412,518
268934227,"OC1",13,1,245,555,157,131,111,131,157,29,76,64
268923180,"OC1",13,1,-1,523,122,157,64,90,24,25,157,17
268922678,"OC1",13,1,35,238,63,235,420,131,64,53,86,157
268921080,"OC1",13,1,11,105,63,157,67,64,-1,103,89,238
268902432,"OC1",13,0,238,32,235,555,82,84,122,421,142,53
268900892,"OC1",13,0,157,13,119,33,111,235,23,157,11,555
268899021,"OC1",13,1,82,157,555,523,245,114,84,51,2,64
268888054,"OC1",13,1,111,67,122,2,555,11,35,25,131,157
268887459,"OC1",13,1,120,238,523,64,89,91,119,2,75,53
268551282,"OC1",13,0,64,54,266,523,86,131,11,90,84,111
268539254,"OC1",13,1,85,111,523,107,238,61,111,56,105,82
268536971,"OC1",13,1,51,11,517,420,120,25,119,6,266,54
