"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
2180017849,"EUN1",13,0,201,4,3,161,3,4,266,4,12,33,11,6,67,21,4,121,11,4,43,4,7,202,4,7,111,4,14,92,4,12
2179902339,"EUN1",13,0,555,14,4,59,4,11,45,12,4,31,4,14,21,7,4,89,4,14,103,4,14,51,7,4,24,12,4,56,11,4
2180001646,"EUN1",13,0,25,4,14,51,4,7,99,4,14,32,11,4,24,12,4,120,6,12,107,11,4,103,4,14,267,14,4,15,7,4
2180018122,"EUN1",13,1,91,4,14,29,11,4,21,4,7,412,4,14,38,4,12,103,4,14,497,4,3,238,4,14,67,4,7,141,4,11
2180019469,"EUN1",13,1,103,4,14,36,4,12,145,4,7,40,4,14,141,4,11,99,4,14,67,4,7,10,4,12,39,4,14,19,4,11
2180074672,"EUN1",13,1,119,4,7,36,4,12,164,14,4,64,11,4,143,4,3,35,14,11,222,7,4,103,4,14,2,14,4,25,4,14
2180231641,"EUN1",13,0,6,4,14,28,4,11,99,4,14,81,7,4,40,4,3,104,11,4,223,6,4,103,4,14,202,4,7,63,4,14
2180408416,"EUN1",13,1,43,4,3,103,4,14,62,4,11,18,4,7,14,4,12,40,14,4,420,12,4,33,4,11,1,14,4,67,4,7
2180461729,"EUN1",13,0,79,14,4,222,7,4,56,4,11,80,14,4,101,4,21,31,4,12,103,4,14,25,4,14,202,7,4,36,11,4
2180481987,"EUN1",13,1,75,4,12,103,4,14,555,4,14,29,4,7,5,11,4,8,4,14,202,4,7,35,11,14,420,12,4,99,14,4
2180574694,"EUN1",13,1,157,4,12,103,4,14,51,7,4,25,14,4,24,11,4,245,4,14,117,14,4,59,11,4,223,14,4,145,4,7
2180587426,"EUN1",13,0,58,4,14,119,4,7,56,11,4,161,4,14,103,4,14,61,4,21,12,4,14,39,4,12,29,7,4,24,4,11
2180609393,"EUN1",13,1,201,3,4,202,4,7,32,4,11,103,4,14,41,12,4,157,4,14,122,4,14,64,4,11,143,4,14,67,4,7
2180254869,"EUN1",13,0,266,4,12,12,3,4,145,7,4,42,4,12,64,4,11,101,4,21,122,4,6,15,4,7,254,11,4,53,4,14
2180647066,"EUN1",13,1,141,4,11,103,4,14,412,4,14,119,4,7,39,14,4,145,4,7,12,4,14,83,4,12,24,4,11,99,4,21
2180469501,"EUN1",13,0,157,4,14,201,3,4,51,7,4,92,12,4,120,14,11,43,4,14,15,7,4,107,11,4,163,4,3,24,4,12
2181585970,"EUN1",13,0,59,4,11,555,4,14,21,7,4,13,4,12,63,14,4,202,4,7,75,12,4,16,4,21,103,4,14,28,11,4
2182021271,"EUN1",13,1,145,4,7,103,4,14,86,4,14,16,4,21,64,4,11,19,4,11,111,4,14,38,12,4,157,4,12,67,4,7
2182055599,"EUN1",13,0,266,4,14,133,4,14,157,4,14,20,11,4,16,4,3,412,4,14,119,4,7,32,4,11,103,4,14,14,12,4
2182081453,"EUN1",13,0,39,12,4,119,7,4,141,11,4,13,12,4,412,14,4,21,4,7,32,4,11,103,4,14,54,4,12,99,14,4
2182349184,"EUN1",13,0,38,12,4,75,11,4,78,4,12,119,4,7,117,14,4,236,7,4,40,14,4,41,4,14,32,4,11,103,4,14
2182354112,"EUN1",13,0,96,21,4,117,7,4,24,12,4,421,11,4,99,1,4,16,4,3,32,4,11,103,4,14,17,4,14,67,4,7
2182360407,"EUN1",13,0,32,4,11,103,4,14,58,4,14,412,4,14,110,4,7,40,4,14,51,4,7,131,4,14,75,12,4,64,11,4
2182375642,"EUN1",13,1,32,4,11,103,4,14,53,4,14,114,4,14,81,4,7,1,4,14,18,4,7,7,4,12,141,4,11,555,4,14
2180475510,"EUN1",13,0,77,12,4,141,11,4,16,21,4,157,4,3,222,7,4,85,4,14,143,4,14,81,4,7,121,11,4,103,4,14
2182390565,"EUN1",13,0,67,4,7,157,14,4,39,4,14,30,11,4,555,4,14,412,4,7,222,4,7,48,12,4,84,4,14,64,11,4
2182399286,"EUN1",13,1,154,11,4,84,4,14,83,12,4,145,7,4,412,4,14,222,4,7,113,11,4,111,4,14,157,14,4,266,4,12
2187010083,"EUN1",13,1,517,4,12,59,4,11,222,4,7,238,14,4,555,4,14,13,4,12,30,4,11,63,14,4,498,7,4,266,4,12
2182397390,"EUN1",13,1,21,4,7,412,4,14,24,4,14,32,4,11,103,4,14,28,11,4,267,14,4,114,4,12,145,4,7,7,14,4
2183054351,"EUN1",13,1,517,14,4,103,4,14,121,11,4,89,4,14,29,4,7,122,4,14,134,14,4,21,4,7,11,4,11,63,4,14
2183226490,"EUN1",13,0,90,21,4,35,11,14,112,12,4,25,4,14,92,4,14,51,4,7,103,4,14,28,11,4,412,4,14,86,4,14
2183361979,"EUN1",13,1,201,4,14,223,14,4,236,7,4,103,4,14,28,11,4,141,11,4,43,4,14,81,4,7,86,4,14,10,4,12
2184006016,"EUN1",13,1,117,14,4,131,4,14,67,4,7,103,4,14,28,11,4,497,14,4,81,4,7,58,4,12,32,4,11,142,4,14
2184031886,"EUN1",13,1,89,14,4,131,4,14,429,4,7,103,4,14,28,11,4,58,14,4,121,4,11,119,4,7,61,4,14,143,14,4
2184196354,"EUN1",13,1,117,4,14,145,4,7,39,4,14,103,4,14,28,11,4,240,4,14,43,4,14,498,7,4,104,4,11,142,4,14
2184203110,"EUN1",13,0,13,12,4,67,7,4,240,12,4,99,4,3,35,14,11,145,12,4,103,4,14,28,11,4,412,14,4,23,12,4
2184690257,"EUN1",13,0,38,4,12,58,12,4,222,4,7,40,4,14,60,11,4,412,14,4,80,12,4,120,11,6,103,4,14,202,4,7
2190095308,"EUN1",13,0,113,11,4,53,4,3,517,4,12,4,14,4,202,4,14,15,4,7,60,11,4,89,4,14,34,12,4,111,12,4
2190340258,"EUN1",13,1,266,4,12,141,11,4,222,4,7,16,4,3,13,4,12,75,4,12,21,4,7,45,4,12,104,4,11,432,14,4
2190354331,"EUN1",13,1,350,7,3,58,12,4,11,4,11,145,7,4,55,4,14,154,4,11,555,4,14,38,14,4,30,7,4,126,12,4
2190642361,"EUN1",13,0,3,12,4,267,3,4,20,6,11,8,4,14,67,4,7,5,4,11,122,4,6,89,14,4,145,7,4,25,14,4
2187029772,"EUN1",13,0,33,4,11,115,4,21,518,12,4,555,14,4,145,7,4,111,4,14,222,7,4,24,4,12,28,4,11,103,4,14
2194345427,"EUN1",13,0,420,12,4,19,11,4,25,14,4,61,4,7,18,7,4,245,4,11,51,4,7,103,4,14,114,4,14,99,14,4
2187059755,"EUN1",13,0,13,4,12,84,4,12,30,4,11,43,4,14,81,4,7,17,4,14,518,4,14,222,4,7,59,11,4,268,4,14
2187832879,"EUN1",13,0,145,12,4,3,4,14,84,4,14,266,4,14,24,4,11,517,4,11,7,4,14,39,12,4,51,4,7,555,4,14
2217471637,"EUN1",13,0,157,4,14,107,4,11,114,4,12,119,4,7,111,4,14,67,4,7,62,4,14,246,11,4,126,4,14,412,4,14
2230420894,"EUN1",13,0,59,4,11,17,4,14,15,4,12,142,4,12,350,3,7,26,4,14,32,11,4,91,14,4,23,4,14,202,7,4
2230467994,"EUN1",13,0,51,4,7,126,4,12,518,4,12,555,4,14,59,4,11,122,4,6,254,11,4,67,4,7,350,3,14,13,4,12
2235956870,"EUN1",13,0,113,11,4,81,4,12,350,7,3,82,4,14,238,4,14,68,4,12,11,11,4,131,14,4,555,14,4,202,7,4
2235959086,"EUN1",13,1,21,4,7,11,4,11,111,4,14,555,4,14,86,6,12,246,14,4,201,4,14,119,4,7,157,4,14,64,4,11
2236030219,"EUN1",13,0,105,4,14,18,7,4,412,14,4,141,4,11,75,4,6,157,14,4,25,4,14,145,4,7,32,4,11,86,4,12
2252165492,"EUN1",13,0,76,11,4,266,4,12,555,14,4,82,4,14,67,4,7,141,4,11,115,12,4,54,4,14,222,4,7,41,4,12
2252220491,"EUN1",13,0,67,4,7,412,4,12,80,4,14,121,4,11,61,4,21,90,4,14,40,4,14,11,11,3,81,4,7,420,12,4
2278546280,"EUN1",13,1,32,11,4,126,4,14,134,4,12,412,14,4,67,4,12,141,11,4,145,7,4,80,4,14,61,4,21,89,4,14
2302453739,"EUN1",13,1,121,11,4,15,4,7,117,14,4,86,4,12,161,4,21,11,4,11,103,14,4,222,4,3,267,4,14,145,4,7
2194889806,"EUN1",13,0,498,4,7,350,3,14,238,4,14,75,12,4,28,11,4,145,4,7,17,14,4,19,11,4,37,3,4,55,4,14
2194916449,"EUN1",13,0,19,11,4,68,4,12,105,12,4,350,14,3,18,4,7,39,12,4,127,14,4,498,4,7,24,4,11,223,4,14
2194952110,"EUN1",13,1,8,4,14,420,12,4,202,4,7,143,14,4,79,11,4,122,12,4,51,4,7,267,4,14,60,4,11,157,14,4
2195565394,"EUN1",13,1,107,4,12,119,4,7,117,14,4,517,4,12,56,11,4,59,11,4,157,4,14,53,3,4,69,7,4,6,12,4
2195566893,"EUN1",13,0,25,14,4,223,4,12,99,12,4,11,4,11,90,14,4,498,4,7,44,4,14,266,12,4,77,11,4,157,14,4
